p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HSPG2	0	0.73635240238886	0.424	0.011	0	11	HSPG2
COL6A1	0	0.71914808238456	0.344	0.026	0	11	COL6A1
SERPINH1	0	0.706669314046379	0.541	0.057	0	11	SERPINH1
CNN3	0	0.694348296647235	0.602	0.071	0	11	CNN3
CLDN5	0	0.692152915009157	0.268	0.001	0	11	CLDN5
NNMT	0	0.68310632733352	0.391	0.007	0	11	NNMT
SLC9A3R2	0	0.652575053989225	0.297	0.004	0	11	SLC9A3R2
COL18A1	0	0.646578713337011	0.4	0.039	0	11	COL18A1
CALCRL	0	0.645239630586445	0.377	0.001	0	11	CALCRL
TCF4	0	0.635357552903508	0.498	0.012	0	11	TCF4
RAMP3	0	0.631041695658464	0.342	0.001	0	11	RAMP3
AQP1	0	0.62689888455735	0.309	0.001	0	11	AQP1
EPAS1	0	0.622322288328806	0.453	0.03	0	11	EPAS1
ESAM	0	0.621539433872457	0.42	0	0	11	ESAM
PTRF	0	0.584094852109622	0.543	0.065	0	11	PTRF
CLEC14A	0	0.581297955700515	0.324	0	0	11	CLEC14A
S100A16	0	0.566628223683529	0.455	0.02	0	11	S100A16
PLPP3	0	0.540951461273095	0.338	0.005	0	11	PLPP3
TGM2	0	0.515338810429961	0.379	0.003	0	11	TGM2
IL33	0	0.507501615471002	0.322	0.007	0	11	IL33
BCAM	0	0.502827354332098	0.379	0.036	0	11	BCAM
TFPI	0	0.480560285738762	0.361	0.004	0	11	TFPI
CD34	0	0.474710025550925	0.307	0	0	11	CD34
APOLD1	0	0.473954943096674	0.324	0.002	0	11	APOLD1
UACA	0	0.473432150729812	0.363	0.018	0	11	UACA
THBD	0	0.47181545258661	0.297	0.008	0	11	THBD
LHFP	0	0.458553041691518	0.326	0.009	0	11	LHFP
HYAL2	0	0.45732718959669	0.295	0.003	0	11	HYAL2
HEG1	0	0.456559917212242	0.314	0.004	0	11	HEG1
LDB2	0	0.449543691591331	0.307	0.007	0	11	LDB2
C8orf4	0	0.435542685576239	0.283	0.001	0	11	C8orf4
CD93	0	0.432989671690874	0.285	0.01	0	11	CD93
PTPRB	0	0.428231798855076	0.305	0.001	0	11	PTPRB
ADAM15	0	0.427689813406033	0.316	0.025	0	11	ADAM15
ADGRL4	0	0.422564554335539	0.299	0	0	11	ADGRL4
DLC1	0	0.414004687114076	0.369	0.021	0	11	DLC1
ADGRF5	0	0.41200631838264	0.32	0	0	11	ADGRF5
CFH	0	0.400976975138438	0.275	0.004	0	11	CFH
F2R	0	0.389099945018799	0.305	0.019	0	11	F2R
PLAC9	0	0.38101372864951	0.303	0.002	0	11	PLAC9
FILIP1L	0	0.379244138493202	0.305	0.006	0	11	FILIP1L
ARHGAP29	0	0.378912511328121	0.338	0.008	0	11	ARHGAP29
LAMA4	0	0.376356006413436	0.352	0.005	0	11	LAMA4
FSTL1	0	0.373435663405196	0.277	0.02	0	11	FSTL1
MAP1B	0	0.371589325770831	0.322	0.02	0	11	MAP1B
CLEC3B	0	0.366042717489735	0.254	0	0	11	CLEC3B
TINAGL1	0	0.363071729941385	0.258	0	0	11	TINAGL1
ELK3	0	0.358719882463987	0.314	0.016	0	11	ELK3
RBP1	0	0.354829825807821	0.295	0.005	0	11	RBP1
CDH5	0	0.353484360359346	0.279	0	0	11	CDH5
PPIC	0	0.348949708350194	0.326	0.014	0	11	PPIC
S1PR1	0	0.348327076097744	0.277	0.014	0	11	S1PR1
CYYR1	0	0.345885937286283	0.281	0	0	11	CYYR1
NID1	0	0.33364019775588	0.303	0.004	0	11	NID1
NPDC1	0	0.322890576930605	0.281	0.021	0	11	NPDC1
CAV2	0	0.316159321524644	0.322	0.024	0	11	CAV2
TGFB1I1	0	0.305570205989202	0.273	0.008	0	11	TGFB1I1
LMCD1	0	0.296891588757938	0.264	0.018	0	11	LMCD1
NFIB	0	0.296774819379341	0.279	0.011	0	11	NFIB
FXYD6	0	0.296614860420408	0.275	0.014	0	11	FXYD6
NR2F2	0	0.293078451010565	0.27	0.019	0	11	NR2F2
EHD2	0	0.291564562064721	0.281	0.007	0	11	EHD2
ECE1	0	0.266307267598669	0.254	0.012	0	11	ECE1
PDLIM7	3.07168269947265e-304	0.28411658203998	0.295	0.024	7.08422180979378e-300	11	PDLIM7
KLF9	2.82495822083497e-299	0.276853940692725	0.279	0.022	6.51520114471169e-295	11	KLF9
TIMP1	2.84125544562286e-293	2.25514252103778	0.768	0.194	6.55278743424e-289	11	TIMP1
PDLIM5	5.00313966781493e-293	0.382272149680155	0.379	0.042	1.15387410158816e-288	11	PDLIM5
ICAM2	9.51869352237964e-288	0.353020002437157	0.273	0.022	2.19529628706642e-283	11	ICAM2
TPM41	2.32602055032268e-284	0.865432141815925	0.672	0.139	5.36450119520919e-280	11	TPM4
GSN	3.82734502342703e-276	0.798090137975537	0.629	0.119	8.82700582752977e-272	11	GSN
EGFL7	1.41458897588424e-274	0.513095580800141	0.369	0.043	3.26246655508183e-270	11	EGFL7
MCAM	1.40748467860212e-269	0.359094381300809	0.277	0.024	3.24608191426006e-265	11	MCAM
ID1	1.89286454941456e-265	0.75389135833358	0.391	0.049	4.36551351031479e-261	11	ID1
CTGF	1.64230287581891e-259	0.665211671929612	0.279	0.026	3.78764312250115e-255	11	CTGF
CALD1	6.66175058364472e-256	0.982242208166755	0.615	0.129	1.53639953710598e-251	11	CALD1
WWTR1	1.44405829583507e-241	0.312733245686951	0.297	0.031	3.33043164768442e-237	11	WWTR1
CAV1	2.88465114139573e-241	0.731783894331867	0.527	0.097	6.65287092740097e-237	11	CAV1
CCL2	3.29254949354695e-240	1.03071796901542	0.283	0.028	7.59360689696733e-236	11	CCL2
SELM	2.47089045216598e-239	0.601011404784187	0.5	0.086	5.69861464983039e-235	11	SELM
ANXA11	3.11712885366067e-237	0.597052643692127	0.541	0.096	7.1890342751976e-233	11	ANXA1
PCOLCE	5.3377861717998e-225	0.497116276889387	0.262	0.026	1.23105362480219e-220	11	PCOLCE
RNASE11	7.39001304731943e-215	0.873376888372339	0.4	0.06	1.70435870910328e-210	11	RNASE1
SPRY1	7.97846446498379e-215	0.427278969178527	0.324	0.041	1.84007325955921e-210	11	SPRY1
ITGB1	4.74867744444161e-214	0.653896349006308	0.613	0.141	1.09518747901157e-209	11	ITGB1
PRKCDBP	2.43948845639074e-212	0.462085043680675	0.404	0.062	5.62619222697397e-208	11	PRKCDBP
TACC1	3.99957061979048e-210	0.422795527445858	0.412	0.066	9.22420972042279e-206	11	TACC1
LIMA1	9.13241422555265e-203	0.306056149344556	0.303	0.037	2.10620869283921e-198	11	LIMA1
LPP	1.13752899256294e-200	0.297585032589403	0.334	0.045	2.62348311554792e-196	11	LPP
ACTN1	4.95353442199781e-196	0.345098888497056	0.369	0.055	1.14243364374536e-191	11	ACTN1
GNG11	1.14608231375459e-194	0.862316438347438	0.58	0.139	2.64320964021222e-190	11	GNG11
CD151	2.79920858135543e-194	0.495142068404254	0.525	0.11	6.45581475118002e-190	11	CD151
MYH91	4.26542093656479e-192	0.580615925497993	0.564	0.126	9.83734030599937e-188	11	MYH9
UTRN	1.14060656672367e-189	0.36411041485844	0.338	0.049	2.6305809248348e-185	11	UTRN
TGFBR2	1.19948223208127e-187	0.297782781170017	0.291	0.037	2.76636587184904e-183	11	TGFBR2
TUBA1A	1.70995533755759e-186	0.631830280243029	0.514	0.111	3.94366999500907e-182	11	TUBA1A
TAGLN21	9.03974810016986e-179	0.876046880234861	0.754	0.267	2.08483710434217e-174	11	TAGLN2
IFITM32	5.25057422862866e-167	1.0339617085898	0.967	0.699	1.21093993434863e-162	11	IFITM3
FLNA	3.86854226031799e-165	0.460698148170224	0.434	0.087	8.92201901497137e-161	11	FLNA
MIR4435-2HG	7.11355855889451e-162	0.287959358002777	0.275	0.037	1.64060001043784e-157	11	MIR4435-2HG
NEDD9	6.81740650116573e-159	0.338548270913701	0.287	0.042	1.57229846136385e-154	11	NEDD9
AHNAK	7.22773086542556e-155	0.454810401685939	0.484	0.109	1.6669315694931e-150	11	AHNAK
IFITM2	1.11574869290843e-154	0.938484651193472	0.74	0.304	2.57325121045472e-150	11	IFITM2
EMP2	1.51125244228912e-152	0.27306187132128	0.301	0.047	3.4854015076514e-148	11	EMP2
PNP	4.67029341465654e-151	0.354081750060623	0.279	0.041	1.07710977022224e-146	11	PNP
STOM	1.56112435326001e-145	0.529829071016384	0.486	0.12	3.60042109592356e-141	11	STOM
BHLHE40	1.47757516109664e-144	0.459699689839765	0.4	0.083	3.40773159403717e-140	11	BHLHE40
PRCP	3.02956111705095e-142	0.426089040558307	0.309	0.053	6.9870768042546e-138	11	PRCP
CXCL21	7.5536532986358e-136	0.841734297939633	0.264	0.04	1.74209906026437e-131	11	CXCL2
IL6ST	1.68950338121802e-135	0.388458181012108	0.436	0.1	3.89650164810312e-131	11	IL6ST
APP2	1.94467580269838e-135	0.565355103424711	0.625	0.198	4.48500580376328e-131	11	APP
TUBB6	3.37168781947694e-134	0.26662336802899	0.297	0.05	7.77612361805967e-130	11	TUBB6
FKBP1A	1.53357657664881e-130	0.78325616777571	0.662	0.249	3.53688765872516e-126	11	FKBP1A
SEC14L1	5.69492487562308e-129	0.303347527766026	0.303	0.054	1.31342052406495e-124	11	SEC14L1
KLF2	2.64750544424224e-127	0.328068299232041	0.279	0.047	6.10594180605588e-123	11	KLF2
SPTBN12	7.05653457704837e-120	0.408665924165915	0.531	0.152	1.62744856950466e-115	11	SPTBN1
TNFRSF1A	1.94360813337085e-119	0.252546581188059	0.326	0.064	4.4825434379932e-115	11	TNFRSF1A
PLEC	1.87969957653701e-117	0.255692530327233	0.262	0.044	4.3351511333673e-113	11	PLEC
TMSB4X2	7.38359017220873e-115	0.634385558292867	0.947	0.483	1.7028774014165e-110	11	TMSB4X
MYL62	2.91000861978685e-113	0.678858586763899	0.928	0.744	6.71135287981442e-109	11	MYL6
S100A101	1.24875851786141e-112	1.09570377085174	0.621	0.262	2.88001176974378e-108	11	S100A10
IFITM12	1.5466284941239e-112	0.822870194761537	0.658	0.252	3.56698929599795e-108	11	IFITM1
SLC2A31	5.7300457983011e-111	0.563700010079598	0.445	0.123	1.32152046246218e-106	11	SLC2A3
ITM2B2	1.26213305039209e-110	0.704689614127251	0.77	0.385	2.91085745411928e-106	11	ITM2B
A2M1	9.1377796987011e-108	0.663459264164889	0.65	0.25	2.10744613191143e-103	11	A2M
CD991	1.24761789520009e-103	0.552254919064822	0.67	0.279	2.87738115169996e-99	11	CD99
TMSB103	8.11331453118753e-103	0.835290082452811	0.969	0.936	1.87117373032778e-98	11	TMSB10
MSN1	3.08773438502516e-102	0.354473259900826	0.443	0.123	7.12124181218353e-98	11	MSN
MACF1	9.17755451726014e-102	0.255922509174521	0.299	0.063	2.11661939831571e-97	11	MACF1
VAMP5	5.61494267564289e-98	0.419226842089554	0.428	0.124	1.29497422928352e-93	11	VAMP5
SPTAN1	2.55906835166655e-96	0.279343775089701	0.334	0.078	5.90197933944856e-92	11	SPTAN1
CYB5R3	2.67915338770421e-95	0.335594354959525	0.488	0.152	6.17893145806222e-91	11	CYB5R3
EMP11	7.0131298052359e-95	0.546591618525178	0.457	0.141	1.61743812698156e-90	11	EMP1
SOCS3	1.11311117539937e-94	0.607028689900656	0.357	0.094	2.56716830382358e-90	11	SOCS3
MEF2C	3.28400178450807e-93	0.261303399111944	0.309	0.07	7.57389331561097e-89	11	MEF2C
PEA15	8.36507266547013e-93	0.257186143257349	0.344	0.084	1.92923670883738e-88	11	PEA15
GNAI2	5.07293237762738e-92	0.250487142752612	0.268	0.056	1.1699703942522e-87	11	GNAI2
ACTN4	5.63958822694685e-90	0.290784032163401	0.367	0.097	1.30065823278075e-85	11	ACTN4
MYL12A1	1.57297950460987e-88	0.524778089835592	0.742	0.367	3.62776263148174e-84	11	MYL12A
SLC38A2	2.29228369519047e-87	0.33604071097844	0.338	0.087	5.28669388621779e-83	11	SLC38A2
SEPP11	1.07215448277821e-85	0.255094669271314	0.455	0.135	2.47270988363139e-81	11	SEPP1
RHOA2	1.33124513355272e-82	0.497056319534392	0.742	0.383	3.07025065151264e-78	11	RHOA
MYL9	2.32451237641853e-82	0.904520011963887	0.443	0.156	5.36102289373405e-78	11	MYL9
MT2A2	4.455165800916e-81	1.20879836171788	0.568	0.255	1.02749488866526e-76	11	MT2A
MYL12B	1.28899420057905e-80	0.486409533553969	0.727	0.371	2.97280732479545e-76	11	MYL12B
CYR61	1.07783064367396e-78	0.661200807963074	0.334	0.091	2.48580081350525e-74	11	CYR61
EIF4G2	8.11128690149997e-73	0.328405626740651	0.545	0.217	1.87070609809294e-68	11	EIF4G2
HSP90B11	3.43564383717461e-69	0.40032889728798	0.6	0.263	7.9236253816758e-65	11	HSP90B1
RABAC1	5.93163774119625e-68	0.301769557337242	0.496	0.189	1.36801361225209e-63	11	RABAC1
MYADM	1.11551475765462e-66	0.335446715937747	0.436	0.156	2.57271168557885e-62	11	MYADM
SEPW12	2.30055661108338e-66	0.412197636102068	0.662	0.321	5.30577371214161e-62	11	SEPW1
CSRP1	6.00710812587178e-66	0.321289483123821	0.361	0.116	1.38541934706981e-61	11	CSRP1
ZFP361	6.548161348353e-66	1.27984902380481	0.699	0.445	1.51020245177065e-61	11	ZFP36
KLF63	1.47910622287988e-65	0.557320059980557	0.477	0.191	3.41126268182786e-61	11	KLF6
DUSP12	6.9364791697797e-65	0.648143699994947	0.473	0.184	1.59976019092629e-60	11	DUSP1
LINC001522	4.19219397184797e-64	0.259659972659596	0.268	0.071	9.66845695727298e-60	11	LINC00152
CLIC4	5.64982438309645e-63	0.25791337469592	0.367	0.119	1.30301899747353e-58	11	CLIC4
GADD45B2	1.26447350381856e-61	0.747956116630653	0.447	0.178	2.91625524185675e-57	11	GADD45B
CALR1	1.31544050302047e-61	0.388603826771935	0.637	0.305	3.03380043211611e-57	11	CALR
RAB11A	2.04274488178166e-60	0.309741337270095	0.393	0.141	4.71118252085305e-56	11	RAB11A
S100A61	3.15298557836763e-60	0.838115889938279	0.666	0.392	7.27173063938926e-56	11	S100A6
SERPING1	3.91573977102086e-59	0.432725655323403	0.381	0.137	9.03087063390541e-55	11	SERPING1
HSPA1A1	4.17194909627913e-59	0.693913361465191	0.371	0.129	9.62176620074855e-55	11	HSPA1A
FOSB2	1.19973726069719e-58	0.71580600416697	0.512	0.235	2.76695404434593e-54	11	FOSB
S100A111	2.08810805219304e-56	0.440898885301022	0.781	0.472	4.8158036007728e-52	11	S100A11
SEPT71	7.45191861249701e-56	0.323509813037693	0.484	0.204	1.71863598960019e-51	11	SEPT7
CALM11	7.18033537306628e-55	0.43843842087199	0.695	0.395	1.65600074709028e-50	11	CALM1
NFKBIA1	1.64464188638638e-54	0.56394775462261	0.498	0.222	3.79303758257291e-50	11	NFKBIA
LMNA1	1.39198623628103e-53	0.461236689302917	0.656	0.339	3.21033785673494e-49	11	LMNA
ANXA2	1.09468304615231e-52	0.491317755860336	0.643	0.354	2.52466750934107e-48	11	ANXA2
IGFBP2	1.92427215589492e-52	0.439595441314866	0.252	0.074	4.43794887314044e-48	11	IGFBP2
RAB13	8.64087778293201e-52	0.250796913719171	0.357	0.127	1.99284564307761e-47	11	RAB13
JUN1	1.01171658277144e-51	0.778667520682231	0.59	0.311	2.33332195484576e-47	11	JUN
FOS1	1.85502225890731e-51	1.09172377766543	0.795	0.641	4.27823783571793e-47	11	FOS
CLIC12	1.7473332881835e-50	0.350925600318903	0.631	0.331	4.02987476253761e-46	11	CLIC1
DSTN	2.0990801712384e-50	0.416822355490255	0.568	0.284	4.84110859892713e-46	11	DSTN
HSPA1B	1.47259805077458e-49	0.552104383977114	0.293	0.097	3.39625288450141e-45	11	HSPA1B
ACTB3	2.30734956161638e-45	0.4170319566344	0.986	0.947	5.32144029395585e-41	11	ACTB
LGALS13	4.48963647345027e-45	0.870091999657212	0.602	0.39	1.03544485987184e-40	11	LGALS1
IFI272	5.82164841032536e-45	0.439204543457052	0.572	0.278	1.34264677287334e-40	11	IFI27
VIM2	5.71969180221642e-44	0.47305578245123	0.975	0.939	1.31913252034517e-39	11	VIM
HSPA51	1.14944190472291e-43	0.365100121207936	0.445	0.199	2.65095786486245e-39	11	HSPA5
ICAM1	2.56800875301401e-43	0.518715541827193	0.273	0.096	5.92259858707621e-39	11	ICAM1
IGFBP72	2.72844434204126e-43	1.08531422613767	0.719	0.507	6.29261118604975e-39	11	IGFBP7
LGALS32	3.777874930905e-43	0.275104844006861	0.439	0.186	8.7129129531462e-39	11	LGALS3
CST32	4.58781736093242e-43	0.265224182294726	0.662	0.383	1.05808831795184e-38	11	CST3
DDX51	2.9395443731024e-42	0.367581720479972	0.658	0.393	6.77947118768607e-38	11	DDX5
HSPB11	3.12202692075221e-42	0.461948041752883	0.762	0.507	7.20033068733082e-38	11	HSPB1
FXYD51	3.54304964046744e-41	0.316559537983497	0.486	0.238	8.17133538581006e-37	11	FXYD5
CD592	1.18303482173001e-40	0.426475666040847	0.615	0.351	2.72843320935591e-36	11	CD59
PPIB1	1.2771543599332e-39	0.370959355855086	0.666	0.402	2.94550110031394e-35	11	PPIB
TUBA1B2	1.84198298071064e-39	0.404610423970509	0.613	0.344	4.24816534841294e-35	11	TUBA1B
KLF41	9.01419023243128e-36	0.299185785599187	0.301	0.117	2.07894269330563e-31	11	KLF4
BST21	4.09524977702702e-34	0.348335605663021	0.434	0.218	9.44487456075742e-30	11	BST2
ARF4	5.27996491253244e-34	0.263682138675082	0.393	0.184	1.21771830777736e-29	11	ARF4
JUNB1	8.67802544427419e-34	0.683439383498856	0.793	0.658	2.00141300821296e-29	11	JUNB
CDKN1A2	2.57446717620846e-32	0.473924881514066	0.451	0.238	5.93749364848957e-28	11	CDKN1A
GUK11	2.45374634696629e-31	0.277347452378706	0.576	0.349	5.65907520000835e-27	11	GUK1
UBC1	3.56442954663431e-31	0.31858092076657	0.818	0.655	8.2206438634027e-27	11	UBC
PPP1R15A1	2.73313492923818e-30	0.375748506208138	0.488	0.274	6.303429087302e-26	11	PPP1R15A
PDLIM31	4.0184138139079e-30	0.339275194488043	0.291	0.122	9.2676677790158e-26	11	PDLIM3
B2M2	4.50222153180776e-30	0.257962443231707	0.996	0.942	1.03834735188082e-25	11	B2M
MDK2	2.43154278429757e-29	0.256117191247711	0.311	0.136	5.60786712342549e-25	11	MDK
TPM3	6.42671090680485e-28	0.265312628246604	0.471	0.265	1.4821923364364e-23	11	TPM3
TUBB1	1.4161426852717e-27	0.268293025276037	0.6	0.365	3.26604987504213e-23	11	TUBB
DDIT41	1.92554867700535e-25	0.261579821322442	0.305	0.14	4.44089291377743e-21	11	DDIT4
ZFP36L11	1.9301369224905e-25	0.304932860997599	0.494	0.288	4.45147478433985e-21	11	ZFP36L1
EGR11	2.08575477683282e-25	0.469430841011813	0.486	0.28	4.81037624180953e-21	11	EGR1
NEAT12	2.14048656610765e-25	0.333608570905047	0.611	0.407	4.93660416741406e-21	11	NEAT1
IER31	4.07892003954085e-25	0.31382746368049	0.285	0.128	9.40721328719307e-21	11	IER3
IER21	5.79857033771603e-25	0.44719210825577	0.475	0.28	1.33732427698745e-20	11	IER2
MTRNR2L121	5.72916534849244e-24	0.631442628419821	0.77	0.639	1.32131740432281e-19	11	MTRNR2L12
RHOB2	2.67032157409718e-23	0.299166886919172	0.355	0.185	6.15856264634033e-19	11	RHOB
NR4A12	2.49050385370399e-22	0.398482753611323	0.482	0.298	5.74384903779752e-18	11	NR4A1
HLA-C1	8.75332663668632e-21	0.271758647526072	0.906	0.821	2.01877972221897e-16	11	HLA-C
HLA-E1	1.22141436481599e-20	0.323573279779614	0.701	0.527	2.81694794957511e-16	11	HLA-E
DNAJB11	6.21166817747782e-06	0.263413910970455	0.346	0.261	0.143259703177171	11	DNAJB1
MTRNR2L83	1.25540743696111e-191	1.42250222506193	0.92	0.28	2.8953461718634e-187	12	MTRNR2L8
RHOC	6.30721490131919e-111	0.405231181905425	0.336	0.067	1.45463297269124e-106	12	RHOC
MTRNR2L122	1.0039868705182e-87	1.29115254150293	0.895	0.639	2.31549491947612e-83	12	MTRNR2L12
CRYAB3	1.52048765837562e-78	0.985057420003643	0.628	0.293	3.50670068651168e-74	12	CRYAB
NDUFA11	2.1787006494458e-70	0.285179628109738	0.348	0.093	5.02473730781685e-66	12	NDUFA11
RPL262	2.04270372992862e-68	0.651872521368679	0.981	0.852	4.71108761233438e-64	12	RPL26
HSPA1A2	8.13158244696555e-64	0.370798507613755	0.404	0.13	1.87538685974367e-59	12	HSPA1A
WARS	9.74844714102253e-63	0.679761506970115	0.462	0.181	2.24828436413403e-58	12	WARS
RPL41	7.87890686520946e-62	0.491823031858722	0.993	0.987	1.81711229032326e-57	12	RPL41
HSPA1B1	2.07533471305195e-60	0.340762874282239	0.333	0.097	4.78634444871172e-56	12	HSPA1B
ATP5F1	9.68022167109356e-48	0.407429688743169	0.494	0.227	2.23254952400431e-43	12	ATP5F1
ARPC1B1	7.44194655953773e-46	0.344407516798387	0.426	0.173	1.71633613502619e-41	12	ARPC1B
HSP90AA11	2.82516672326878e-42	0.521876480487053	0.915	0.839	6.51568201387479e-38	12	HSP90AA1
SORT1	2.51659608780651e-41	0.302270409414849	0.263	0.085	5.80402555730816e-37	12	SORT1
RPL36A1	6.48293501355561e-41	0.474776725095047	0.652	0.402	1.49515930217633e-36	12	RPL36A
S100A14	1.55742740552107e-40	0.591736984550062	0.808	0.64	3.59189482535324e-36	12	S100A1
HSPA81	3.9139424207687e-39	0.482892979471187	0.842	0.707	9.02672540501886e-35	12	HSPA8
GSTM3	6.55132132749664e-39	0.252960104161472	0.297	0.104	1.51093123776055e-34	12	GSTM3
LGALS33	1.64886986816854e-37	0.47755677128798	0.418	0.186	3.80278857695711e-33	12	LGALS3
CCT8	1.07405523466911e-36	0.27666798059729	0.384	0.161	2.47709358771737e-32	12	CCT8
CSTB4	3.02239556204726e-36	0.531191173810229	0.613	0.407	6.97055088474958e-32	12	CSTB
PSMA5	6.08309146047831e-36	0.273339545254356	0.336	0.134	1.40294338353011e-31	12	PSMA5
ATP5J	1.1305030540984e-35	0.540302108973237	0.603	0.427	2.60727919366714e-31	12	ATP5J
GNAS	2.16867091647426e-34	0.411799729190095	0.545	0.33	5.00160573466458e-30	12	GNAS
HLA-C2	1.1298403947182e-33	0.614873009817555	0.942	0.821	2.60575090233857e-29	12	HLA-C
ATP5E	3.79623032643637e-33	0.377104904896094	0.927	0.835	8.7552460018602e-29	12	ATP5E
EXOC3	8.63701032974338e-31	0.325608654789685	0.338	0.145	1.99195369234872e-26	12	EXOC3
CAPZA1	1.00587528379359e-30	0.395018226895416	0.363	0.168	2.31985016701315e-26	12	CAPZA1
CTSK1	1.13170163774958e-30	0.27807214005117	0.292	0.114	2.61004348714187e-26	12	CTSK
ANXA21	2.71289386794697e-29	0.528246235664964	0.54	0.355	6.2567471276461e-25	12	ANXA2
IGFBP73	6.00540079343251e-29	0.756401658088262	0.686	0.508	1.38502558498934e-24	12	IGFBP7
HLA-B1	1.94303732400648e-27	0.501416133837321	0.949	0.823	4.48122698035615e-23	12	HLA-B
NME2	7.48181616041801e-27	0.328550661292856	0.513	0.306	1.7255312610772e-22	12	NME2
SERF21	6.8711867565358e-26	0.377737904649144	0.966	0.939	1.58470180165985e-21	12	SERF2
NBEAL1	7.44243094961975e-25	0.305653663882918	0.457	0.254	1.7164478499108e-20	12	NBEAL1
HSPH11	7.6757005329638e-25	0.259459294062241	0.251	0.1	1.77024681391744e-20	12	HSPH1
ANXA51	1.85690342562805e-24	0.430515719171895	0.803	0.723	4.28257637052598e-20	12	ANXA5
S100A62	3.54304231440325e-24	0.465293760035316	0.574	0.393	8.17131848970821e-20	12	S100A6
SOD32	1.67338362553251e-23	0.318530709910915	0.273	0.119	3.85932465556562e-19	12	SOD3
ATP5B2	2.55448861151926e-23	0.416423850746954	0.574	0.411	5.89141708474687e-19	12	ATP5B
CCT3	2.70376012619926e-23	0.331805397782272	0.453	0.268	6.23568197905336e-19	12	CCT3
UQCR11	1.38892174511804e-21	0.306814072021032	0.533	0.35	3.20327022076572e-17	12	UQCR11
PPIA2	2.14260316229719e-21	0.269740145084326	0.968	0.933	4.94148567320601e-17	12	PPIA
APP3	5.66527944498056e-19	0.35175241132297	0.353	0.2	1.30658339839587e-14	12	APP
NDUFA1	1.12772718028617e-18	0.258964006440194	0.462	0.29	2.60087719589399e-14	12	NDUFA1
CCND11	5.60273556014908e-17	0.259733771004797	0.294	0.152	1.29215890223718e-12	12	CCND1
RPL17	4.11504916442061e-16	0.274687462112868	0.538	0.376	9.49053788790325e-12	12	RPL17
SOD1	4.71714753268415e-15	0.277265603568432	0.513	0.367	1.08791573546294e-10	12	SOD1
COMT	1.04407967020376e-13	0.266917806802702	0.336	0.21	2.40796094339093e-09	12	COMT
HSPB12	1.00222507375097e-12	0.382915654523295	0.608	0.508	2.31143168759187e-08	12	HSPB1
HSPD11	3.07564566645505e-12	0.317883826671339	0.453	0.325	7.09336160054529e-08	12	HSPD1
SLC25A52	4.2232358494426e-12	0.268004943507594	0.657	0.58	9.74004883956947e-08	12	SLC25A5
UQCRQ2	2.94329037578885e-11	0.267154178419165	0.499	0.381	6.78811059368181e-07	12	UQCRQ
LDHB1	1.57499009981997e-10	0.263257511510961	0.679	0.601	3.63239966721481e-06	12	LDHB
HSPE11	1.61232147570723e-09	0.289399588346195	0.465	0.349	3.71849701942359e-05	12	HSPE1
SAT11	5.17456728311387e-09	0.290296662787801	0.735	0.682	0.000119341045250455	12	SAT1
POLR2L	1.99014817748186e-08	0.258973870580964	0.479	0.401	0.000458987874172641	12	POLR2L
MT2A3	3.1086840591886e-08	0.399830252393745	0.353	0.256	0.000716955804570667	12	MT2A
DNAJB12	5.30038738325821e-08	0.337265271523084	0.36	0.261	0.00122242834220084	12	DNAJB1
LMNA2	9.21886745230489e-08	0.287618752876069	0.426	0.341	0.00212614740052508	12	LMNA
HLA-A2	1.30254516852072e-06	0.261469136809736	0.944	0.89	0.0300405992215934	12	HLA-A
ATP1A11	3.57176401790523e-05	0.314204799140711	0.316	0.266	0.823755935449482	12	ATP1A1
RCVRN	0	3.34377575745083	0.946	0.007	0	13	RCVRN
RHO	0	2.91187978127514	0.827	0.003	0	13	RHO
NRL	0	2.62877217314429	0.905	0.005	0	13	NRL
GNGT1	0	2.53332033138805	0.893	0.003	0	13	GNGT1
ROM1	0	2.47922624935021	0.917	0.005	0	13	ROM1
AIPL1	0	2.38514312243165	0.899	0.003	0	13	AIPL1
PDE6H	0	2.16974335187273	0.262	0.002	0	13	PDE6H
UNC119	0	2.10098977065493	0.905	0.032	0	13	UNC119
PDE6G	0	2.09511037242564	0.833	0.01	0	13	PDE6G
SAG	0	2.04069024984163	0.786	0.002	0	13	SAG
CKB1	0	2.00619649008698	0.863	0.084	0	13	CKB
ENO2	0	1.87300383592161	0.899	0.041	0	13	ENO2
GNAT1	0	1.85055943143337	0.839	0.001	0	13	GNAT1
PLEKHB1	0	1.83364339465144	0.833	0.026	0	13	PLEKHB1
MAP1B1	0	1.81625451016207	0.899	0.02	0	13	MAP1B
SYT1	0	1.74158040671928	0.893	0.002	0	13	SYT1
GNB3	0	1.65217427170781	0.881	0.002	0	13	GNB3
NEUROD1	0	1.5882557110268	0.833	0.001	0	13	NEUROD1
RP1	0	1.47899339044719	0.857	0.001	0	13	RP1
CNGA1	0	1.41261486843769	0.804	0.001	0	13	CNGA1
SNAP25	0	1.40922258401455	0.845	0.003	0	13	SNAP25
CADM1	0	1.38141097805884	0.857	0.032	0	13	CADM1
DEFB119	0	1.36511502418634	0.774	0.001	0	13	DEFB119
KCNV2	0	1.34082868692201	0.768	0.001	0	13	KCNV2
